replica	lenguaje	tamanio	tipo dato	datos				
2	JAVA	1100	int64	5,486444628				
2	JAVA	1100	float	0,889271074				
2	JAVA	1100	float	7,235564463				
2	JAVA	1100	float	3,617782645				
2	JAVA	1100	double	0,898017355				
2	JAVA	1100	double	10,65958926				
2	JAVA	1100	double	5,490419835				
2	JAVA	1200	int32	0,446113194				
2	JAVA	1200	int32	8,10955625				
2	JAVA	1200	int32	4,030835417				
2	JAVA	1200	int64	0,570838194				
2	JAVA	1200	int64	11,27333194				
2	JAVA	1200	int64	5,699027778				
2	JAVA	1200	float	0,879309028				
2	JAVA	1200	float	8,037170833				
2	JAVA	1200	float	4,028830556				
2	JAVA	1200	double	0,884654861				
2	JAVA	1200	double	11,09760347				
2	JAVA	1200	double	5,719296528				
2	JAVA	1300	int32	0,450147337				
2	JAVA	1300	int32	8,521111834				
2	JAVA	1300	int32	4,241483432				
2	JAVA	1300	int64	0,525868047				
2	JAVA	1300	int64	11,42202071				
2	JAVA	1300	int64	5,82781716				
2	JAVA	1300	float	0,926484024				
2	JAVA	1300	float	8,583168047				
2	JAVA	1300	float	4,282285207				
2	JAVA	1300	double	0,916615976				
2	JAVA	1300	double	11,57782663				
2	JAVA	1300	double	5,861597041				
2	JAVA	1400	int32	0,440336224				
2	JAVA	1400	int32	9,174902041				
2	JAVA	1400	int32	4,542615816				
2	JAVA	1400	int64	0,508080612				
2	JAVA	1400	int64	11,9731898				
2	JAVA	1400	int64	6,10187449				
2	JAVA	1400	float	0,894744898				
2	JAVA	1400	float	9,072467857				
2	JAVA	1400	float	4,594323469				
2	JAVA	1400	double	0,886890816				
2	JAVA	1400	double	11,7912301				
2	JAVA	1400	double	5,96474949				
2	JAVA	1500	int32	0,533679111				
2	JAVA	1500	int32	9,375449333				
2	JAVA	1500	int32	4,73512				
2	JAVA	1500	int64	0,558339111				
2	JAVA	1500	int64	11,429772				
2	JAVA	1500	int64	5,676756				
2	JAVA	1500	float	0,875781333				
2	JAVA	1500	float	9,639152889				
2	JAVA	1500	float	4,771753778				
2	JAVA	1500	double	0,887042222				
2	JAVA	1500	double	12,56982711				
2	JAVA	1500	double	6,380630667				
2	JAVA	1600	int32	0,423827344				
2	JAVA	1600	int32	10,00097266				
2	JAVA	1600	int32	4,974051953				
2	JAVA	1600	int64	0,504257813				
2	JAVA	1600	int64	12,64929844				
2	JAVA	1600	int64	6,374198047				
2	JAVA	1600	float	0,858553906				
2	JAVA	1600	float	9,975289844				
2	JAVA	1600	float	5,033560547				
2	JAVA	1600	double	0,896138672				
2	JAVA	1600	double	12,75453477				
2	JAVA	1600	double	6,497224609				
2	JAVA	1700	int32	0,429921107				
2	JAVA	1700	int32	10,33952388				
2	JAVA	1700	int32	5,111333218				
2	JAVA	1700	int64	0,510933564				
2	JAVA	1700	int64	12,8958564				
2	JAVA	1700	int64	6,523946713				
2	JAVA	1700	float	0,86849827				
2	JAVA	1700	float	10,21456471				
2	JAVA	1700	float	5,075155017				
2	JAVA	1700	double	0,893689965				
2	JAVA	1700	double	13,21580035				
2	JAVA	1700	double	6,755664706				
2	JAVA	1800	int32	0,389220062				
2	JAVA	1800	int32	10,84293241				
2	JAVA	1800	int32	5,365439198				
2	JAVA	1800	int64	0,497710802				
2	JAVA	1800	int64	13,85196543				
2	JAVA	1800	int64	7,250761728				
2	JAVA	1800	float	0,886337037				
2	JAVA	1800	float	11,0609037				
2	JAVA	1800	float	5,410379321				
2	JAVA	1800	double	0,896434259				
2	JAVA	1800	double	13,66250278				
2	JAVA	1800	double	7,444183951				
3	JAVA	200	int32	0,3047				
3	JAVA	200	int32	0,60135				
3	JAVA	200	int32	0,4891				
3	JAVA	200	int64	0,320725				
3	JAVA	200	int64	0,833875				
3	JAVA	200	int64	0,697575				
3	JAVA	200	float	0,8499				
3	JAVA	200	float	0,8419				
3	JAVA	200	float	0,497125				
3	JAVA	200	double	0,8419				
3	JAVA	200	double	0,857925				
3	JAVA	200	double	0,72965				
3	JAVA	300	int32	0,3029				
3	JAVA	300	int32	1,140333333				
